X (Numeric),Y (Numeric),Floor (Categoric), F_dB_min, F_dB_max, F_dB_mean, F_dB_std, F_dB_MAC_ID_min, F_dB_MAC_ID_max, F_dB_CH_min, F_dB_CH_max, F_nofCH, F_nofMAC_ID, F_CH_maxfrequent, F_CH_minfrequent, MAC_ID_0, CH_0, dB_0, MAC_ID_1, CH_1, dB_1, MAC_ID_2, CH_2, dB_2, MAC_ID_3, CH_3, dB_3, MAC_ID_4, CH_4, dB_4, MAC_ID_5, CH_5, dB_5, MAC_ID_6, CH_6, dB_6, MAC_ID_7, CH_7, dB_7, MAC_ID_8, CH_8, dB_8, MAC_ID_9, CH_9, dB_9, MAC_ID_10, CH_10, dB_10, MAC_ID_11, CH_11, dB_11, MAC_ID_12, CH_12, dB_12, MAC_ID_13, CH_13, dB_13, MAC_ID_14, CH_14, dB_14, MAC_ID_15, CH_15, dB_15, MAC_ID_16, CH_16, dB_16, MAC_ID_17, CH_17, dB_17, MAC_ID_18, CH_18, dB_18, MAC_ID_19, CH_19, dB_19, MAC_ID_20, CH_20, dB_20, MAC_ID_21, CH_21, dB_21, MAC_ID_22, CH_22, dB_22, MAC_ID_23, CH_23, dB_23, MAC_ID_24, CH_24, dB_24, MAC_ID_25, CH_25, dB_25, MAC_ID_26, CH_26, dB_26, MAC_ID_27, CH_27, dB_27, MAC_ID_28, CH_28, dB_28, MAC_ID_29, CH_29, dB_29, MAC_ID_30, CH_30, dB_30, MAC_ID_31, CH_31, dB_31, MAC_ID_32, CH_32, dB_32, MAC_ID_33, CH_33, dB_33, MAC_ID_34, CH_34, dB_34, MAC_ID_35, CH_35, dB_35, MAC_ID_36, CH_36, dB_36, MAC_ID_37, CH_37, dB_37, MAC_ID_38, CH_38, dB_38, MAC_ID_39, CH_39, dB_39, MAC_ID_40, CH_40, dB_40, MAC_ID_41, CH_41, dB_41, MAC_ID_42, CH_42, dB_42, MAC_ID_43, CH_43, dB_43, MAC_ID_44, CH_44, dB_44, MAC_ID_45, CH_45, dB_45, MAC_ID_46, CH_46, dB_46, MAC_ID_47, CH_47, dB_47, MAC_ID_48, CH_48, dB_48, MAC_ID_49, CH_49, dB_49, MAC_ID_50, CH_50, dB_50, MAC_ID_51, CH_51, dB_51, MAC_ID_52, CH_52, dB_52, MAC_ID_53, CH_53, dB_53, MAC_ID_54, CH_54, dB_54, MAC_ID_55, CH_55, dB_55, MAC_ID_56, CH_56, dB_56, MAC_ID_57, CH_57, dB_57, MAC_ID_58, CH_58, dB_58, MAC_ID_59, CH_59, dB_59, MAC_ID_60, CH_60, dB_60, MAC_ID_61, CH_61, dB_61, MAC_ID_62, CH_62, dB_62, MAC_ID_63, CH_63, dB_63, MAC_ID_64, CH_64, dB_64, MAC_ID_65, CH_65, dB_65, MAC_ID_66, CH_66, dB_66, MAC_ID_67, CH_67, dB_67, MAC_ID_68, CH_68, dB_68, MAC_ID_69, CH_69, dB_69, MAC_ID_70, CH_70, dB_70, MAC_ID_71, CH_71, dB_71, MAC_ID_72, CH_72, dB_72, MAC_ID_73, CH_73, dB_73, MAC_ID_74, CH_74, dB_74, MAC_ID_75, CH_75, dB_75, MAC_ID_76, CH_76, dB_76, MAC_ID_77, CH_77, dB_77, MAC_ID_78, CH_78, dB_78, MAC_ID_79, CH_79, dB_79, MAC_ID_80, CH_80, dB_80, MAC_ID_81, CH_81, dB_81, MAC_ID_82, CH_82, dB_82, MAC_ID_83, CH_83, dB_83, MAC_ID_84, CH_84, dB_84, MAC_ID_85, CH_85, dB_85, MAC_ID_86, CH_86, dB_86, MAC_ID_87, CH_87, dB_87, MAC_ID_88, CH_88, dB_88, MAC_ID_89, CH_89, dB_89, MAC_ID_90, CH_90, dB_90, MAC_ID_91, CH_91, dB_91, MAC_ID_92, CH_92, dB_92, MAC_ID_93, CH_93, dB_93, MAC_ID_94, CH_94, dB_94, MAC_ID_95, CH_95, dB_95, MAC_ID_96, CH_96, dB_96, MAC_ID_97, CH_97, dB_97, MAC_ID_98, CH_98, dB_98, MAC_ID_99, CH_99, dB_99
-1.2,-1.2,1,-48,-88,-71.33333333,11.5670697,3,29,11,6,3,24,6,1,1,6,-60,1,6,-66,1,6,-66,1,11,-48,1,11,-50,1,11,-76,1,11,-72,1,1,-64,1,1,-64,1,1,-74,1,1,-74,0,0,0,1,11,-72,1,11,-72,1,6,-86,1,6,-72,1,6,-56,1,6,-56,0,0,0,0,0,0,0,0,0,1,11,-84,1,11,-84,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-88,0,0,0,0,0,0,0,0,0,1,6,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.4,0,1,-60,-88,-75.28,8.923377537,4,21,11,11,3,25,6,1,1,6,-64,1,6,-72,1,6,-72,1,11,-64,1,11,-60,1,11,-84,1,11,-82,1,1,-82,1,1,-66,1,1,-74,1,1,-80,1,6,-84,1,11,-72,1,11,-68,1,6,-70,1,6,-68,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-88,1,11,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.4,0,1,-60,-88,-75.28,8.923377537,4,21,11,11,3,25,6,1,1,6,-64,1,6,-72,1,6,-72,1,11,-64,1,11,-60,1,11,-84,1,11,-82,1,1,-82,1,1,-66,1,1,-74,1,1,-80,1,6,-84,1,11,-72,1,11,-68,1,6,-70,1,6,-68,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-88,1,11,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.4,0,1,-60,-88,-75.28,8.923377537,4,21,11,11,3,25,6,1,1,6,-64,1,6,-72,1,6,-72,1,11,-64,1,11,-60,1,11,-84,1,11,-82,1,1,-82,1,1,-66,1,1,-74,1,1,-80,1,6,-84,1,11,-72,1,11,-68,1,6,-70,1,6,-68,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-88,1,11,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.4,0,1,-60,-88,-75.28,8.923377537,4,21,11,11,3,25,6,1,1,6,-64,1,6,-72,1,6,-72,1,11,-64,1,11,-60,1,11,-84,1,11,-82,1,1,-82,1,1,-66,1,1,-74,1,1,-80,1,6,-84,1,11,-72,1,11,-68,1,6,-70,1,6,-68,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-88,1,11,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.4,0,1,-60,-88,-75.28,8.923377537,4,21,11,11,3,25,6,1,1,6,-64,1,6,-72,1,6,-72,1,11,-64,1,11,-60,1,11,-84,1,11,-82,1,1,-82,1,1,-66,1,1,-74,1,1,-80,1,6,-84,1,11,-72,1,11,-68,1,6,-70,1,6,-68,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-88,1,11,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.6,-1.2,1,-42,-86,-72.76923077,11.3147963,3,11,11,6,3,26,6,1,1,6,-66,1,6,-66,1,6,-66,1,11,-42,1,11,-44,1,11,-78,1,11,-76,1,1,-64,1,1,-66,1,1,-82,1,1,-82,1,6,-86,1,11,-76,1,11,-76,1,6,-72,1,6,-72,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-78,1,11,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-84,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.6,-1.2,1,-42,-86,-72.76923077,11.3147963,3,11,11,6,3,26,6,1,1,6,-66,1,6,-66,1,6,-66,1,11,-42,1,11,-44,1,11,-78,1,11,-76,1,1,-64,1,1,-66,1,1,-82,1,1,-82,1,6,-86,1,11,-76,1,11,-76,1,6,-72,1,6,-72,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-78,1,11,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-84,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.6,-1.2,1,-42,-86,-72.76923077,11.3147963,3,11,11,6,3,26,6,1,1,6,-66,1,6,-66,1,6,-66,1,11,-42,1,11,-44,1,11,-78,1,11,-76,1,1,-64,1,1,-66,1,1,-82,1,1,-82,1,6,-86,1,11,-76,1,11,-76,1,6,-72,1,6,-72,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-78,1,11,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-84,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.6,-1.2,1,-42,-86,-72.76923077,11.3147963,3,11,11,6,3,26,6,1,1,6,-66,1,6,-66,1,6,-66,1,11,-42,1,11,-44,1,11,-78,1,11,-76,1,1,-64,1,1,-66,1,1,-82,1,1,-82,1,6,-86,1,11,-76,1,11,-76,1,6,-72,1,6,-72,1,6,-64,1,6,-64,0,0,0,0,0,0,0,0,0,1,11,-78,1,11,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-84,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.6,-1.2,1,-48,-84,-73.03703704,10.81836573,3,11,11,6,3,27,6,1,1,6,-64,1,6,-66,1,6,-72,1,11,-48,1,11,-48,1,11,-78,1,11,-76,1,1,-66,1,1,-66,1,1,-80,1,1,-82,1,6,-84,1,11,-76,1,11,-76,1,6,-72,1,6,-72,1,6,-56,1,6,-56,0,0,0,0,0,0,0,0,0,1,11,-78,1,11,-80,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-82,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.8,0,1,-50,-84,-75.11111111,9.644980095,3,11,11,6,3,27,6,1,1,6,-66,1,6,-74,1,6,-74,1,11,-50,1,11,-50,1,11,-82,1,11,-80,1,1,-74,1,1,-76,1,1,-80,1,1,-78,1,6,-84,1,11,-78,1,11,-78,1,6,-74,1,6,-74,1,6,-60,1,6,-60,0,0,0,0,0,0,0,0,0,1,11,-82,1,11,-80,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-82,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.8,0,1,-50,-84,-75.11111111,9.644980095,3,11,11,6,3,27,6,1,1,6,-66,1,6,-74,1,6,-74,1,11,-50,1,11,-50,1,11,-82,1,11,-80,1,1,-74,1,1,-76,1,1,-80,1,1,-78,1,6,-84,1,11,-78,1,11,-78,1,6,-74,1,6,-74,1,6,-60,1,6,-60,0,0,0,0,0,0,0,0,0,1,11,-82,1,11,-80,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-82,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.8,0,1,-50,-84,-75.11111111,9.644980095,3,11,11,6,3,27,6,1,1,6,-66,1,6,-74,1,6,-74,1,11,-50,1,11,-50,1,11,-82,1,11,-80,1,1,-74,1,1,-76,1,1,-80,1,1,-78,1,6,-84,1,11,-78,1,11,-78,1,6,-74,1,6,-74,1,6,-60,1,6,-60,0,0,0,0,0,0,0,0,0,1,11,-82,1,11,-80,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-82,1,6,-82,0,0,0,1,1,-82,1,11,-82,1,6,-82,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.8,0,1,-50,-84,-74.23076923,10.2188363,3,33,11,6,3,26,6,1,1,6,-66,1,6,-74,1,6,-74,1,11,-50,1,11,-50,1,11,-76,1,11,-76,1,1,-76,1,1,-76,1,1,-80,1,1,-78,1,6,-84,1,11,-78,1,11,-74,1,6,-74,1,6,-74,1,6,-56,1,6,-56,0,0,0,0,0,0,0,0,0,1,11,-82,1,11,-80,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-84,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.8,0,1,-50,-84,-74.23076923,10.2188363,3,33,11,6,3,26,6,1,1,6,-66,1,6,-74,1,6,-74,1,11,-50,1,11,-50,1,11,-76,1,11,-76,1,1,-76,1,1,-76,1,1,-80,1,1,-78,1,6,-84,1,11,-78,1,11,-74,1,6,-74,1,6,-74,1,6,-56,1,6,-56,0,0,0,0,0,0,0,0,0,1,11,-82,1,11,-80,1,6,-84,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-82,0,0,0,1,1,-82,0,0,0,1,6,-84,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,-1.2,1,-54,-86,-72.91666667,8.982672531,0,29,6,6,3,24,6,1,1,6,-54,1,6,-72,1,6,-72,1,11,-56,1,11,-58,1,11,-80,1,11,-68,1,1,-72,1,1,-72,1,1,-74,1,1,-72,0,0,0,1,11,-76,1,11,-74,1,6,-66,1,6,-66,1,6,-68,1,6,-68,0,0,0,0,0,0,0,0,0,1,11,-82,1,11,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,-84,1,6,-86,0,0,0,1,1,-82,0,0,0,1,6,-84,0,0,0,0,0,0,0,0,0,1,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
